career_stage,country,first_time,gender,name,subfield
grad-student,OECD,first_time,male,Clayton Willis,cosmology
grad-student,OECD,first_time,male,Robert Jones,solar
junior-faculty,OECD,first_time,male,Thomas Guerette,solar
grad-student,OECD,first_time,male,Carl Dix,exoplanets
senior-faculty,non-OECD,first_time,male,Henry Shoe,cosmology
grad-student,OECD,first_time,male,Johnie Mccray,solar
grad-student,OECD,returning,female,Delphine Miner,cosmology
senior-faculty,non-OECD,first_time,female,Linda Fletcher,solar
grad-student,non-OECD,first_time,female,Lindsay Maldonado,exoplanets
grad-student,OECD,first_time,male,Dan Roques,solar
grad-student,OECD,first_time,female,Jacklyn Keifer,exoplanets
senior-faculty,OECD,returning,female,Monica Malsam,cosmology
junior-faculty,OECD,returning,male,Alton Resch,exoplanets
grad-student,OECD,returning,female,Paula Anderson,exoplanets
junior-faculty,OECD,first_time,male,Michael Miller,astrophysics
senior-faculty,OECD,returning,male,Andrew Farry,astrophysics
grad-student,non-OECD,first_time,male,Sherman Alexander,solar
senior-faculty,non-OECD,first_time,female,Lucille Mcraney,cosmology
senior-faculty,non-OECD,first_time,male,James Sammons,solar
grad-student,non-OECD,returning,male,Joe Shedden,astrophysics
grad-student,OECD,returning,male,Lucas Wells,astrophysics
junior-faculty,OECD,returning,male,William Smith,cosmology
grad-student,non-OECD,returning,female,Cynthia Walker,astrophysics
senior-faculty,OECD,first_time,male,Robert Ketterman,astrophysics
junior-faculty,non-OECD,returning,male,Mitchell Taylor,astrophysics
junior-faculty,OECD,returning,male,Willis Anderson,solar
junior-faculty,non-OECD,returning,female,Yvonne Inyart,cosmology
grad-student,non-OECD,first_time,female,Mara Marez,cosmology
senior-faculty,non-OECD,returning,male,Jack Kapur,exoplanets
grad-student,non-OECD,first_time,female,Jackie Rand,solar
junior-faculty,OECD,first_time,female,Shelia Miller,cosmology
grad-student,non-OECD,first_time,male,Michael Bauder,cosmology
grad-student,OECD,returning,female,Paula Caldwell,cosmology
senior-faculty,non-OECD,returning,male,Alvin Burgos,cosmology
junior-faculty,non-OECD,first_time,female,Chong Miller,astrophysics
senior-faculty,non-OECD,returning,female,Pamela Mcallister,astrophysics
grad-student,non-OECD,returning,female,Monique Phillips,cosmology
junior-faculty,non-OECD,returning,male,Jeffery Bradt,astrophysics
senior-faculty,OECD,returning,male,Glen Santa,exoplanets
grad-student,OECD,returning,male,Fred Kierzewski,exoplanets
grad-student,OECD,returning,female,Verna Roberson,exoplanets
grad-student,OECD,first_time,female,Jennifer Power,
senior-faculty,non-OECD,first_time,female,Jan Huey,exoplanets
senior-faculty,non-OECD,returning,male,Charles Bray,exoplanets
senior-faculty,non-OECD,first_time,female,Fallon Brown,exoplanets
senior-faculty,non-OECD,returning,male,Wilson Smith,astrophysics
junior-faculty,non-OECD,first_time,male,Raymond Amburgey,exoplanets
junior-faculty,non-OECD,returning,female,Samantha Preslipsky,exoplanets
junior-faculty,non-OECD,first_time,female,Sarah Martinez,exoplanets
senior-faculty,OECD,first_time,female,Noella Matta,solar
senior-faculty,non-OECD,first_time,female,Mary Covert,astrophysics
junior-faculty,non-OECD,returning,male,Oscar Rodriguez,cosmology
grad-student,OECD,first_time,female,Roberta Cuevas,cosmology
junior-faculty,non-OECD,returning,male,Timothy Pacheco,exoplanets
senior-faculty,OECD,first_time,female,Hazel Fitzpatrick,exoplanets
senior-faculty,OECD,first_time,female,Janet Potter,astrophysics
junior-faculty,OECD,returning,female,Heidi Kim,astrophysics
senior-faculty,OECD,returning,female,Diane Smith,cosmology
senior-faculty,OECD,returning,male,Leroy Edwards,cosmology
senior-faculty,OECD,returning,male,Harold Bozych,solar
senior-faculty,OECD,first_time,male,Christopher Kelsheimer,exoplanets
senior-faculty,OECD,first_time,female,Mayra Laura,solar
junior-faculty,non-OECD,returning,male,Bryan Walrath,solar
junior-faculty,OECD,first_time,male,Ronald Hunt,cosmology
grad-student,OECD,returning,female,Dorothy Barber,astrophysics
,non-OECD,returning,female,Joann Lewis,solar
senior-faculty,non-OECD,returning,male,Thomas Linnell,solar
grad-student,OECD,first_time,male,Russell Arce,astrophysics
senior-faculty,non-OECD,returning,male,Charles Fox,exoplanets
senior-faculty,OECD,returning,female,Tyra Allen,astrophysics
junior-faculty,non-OECD,returning,male,Nelson Shepard,
grad-student,non-OECD,returning,male,William Pino,cosmology
grad-student,non-OECD,returning,male,Robert Borges,exoplanets
grad-student,OECD,first_time,male,Richard Gerraro,solar
grad-student,OECD,returning,other,Melinda Harris,solar
junior-faculty,non-OECD,returning,male,Joe Christensen,exoplanets
junior-faculty,non-OECD,returning,female,Jill Fitzgerald,solar
grad-student,OECD,first_time,male,Richard White,exoplanets
junior-faculty,OECD,returning,female,Rose Ramirez,astrophysics
grad-student,OECD,returning,male,Ryan Watson,astrophysics
grad-student,OECD,returning,other,Matthew Isaacs,exoplanets
grad-student,OECD,first_time,male,Bobby Thomas,exoplanets
junior-faculty,OECD,returning,male,Pablo Solis,solar
junior-faculty,non-OECD,first_time,male,William Dougherty,astrophysics
senior-faculty,non-OECD,returning,female,Elsie North,solar
junior-faculty,OECD,first_time,male,Dale Arpin,astrophysics
senior-faculty,non-OECD,returning,female,Arline Ericson,astrophysics
grad-student,OECD,returning,female,Alpha Lane,cosmology
grad-student,OECD,first_time,female,Tracy Morris,cosmology
grad-student,non-OECD,first_time,female,Antoinette Cho,cosmology
junior-faculty,non-OECD,returning,male,Bradley Gutierrez,exoplanets
junior-faculty,non-OECD,first_time,male,Mark Woolfrey,exoplanets
senior-faculty,non-OECD,first_time,female,Karen Kisner,solar
senior-faculty,OECD,returning,female,Mary Aversano,astrophysics
junior-faculty,non-OECD,first_time,male,Joseph Wagner,astrophysics
grad-student,OECD,returning,male,Richard Wolfe,astrophysics
senior-faculty,OECD,first_time,female,Barabara Cain,solar
senior-faculty,OECD,first_time,male,Robert Burdette,cosmology
senior-faculty,non-OECD,first_time,male,Christopher Paget,cosmology
senior-faculty,non-OECD,first_time,male,Gary Mccaslin,solar
senior-faculty,non-OECD,first_time,other,Bob Mason,cosmology
junior-faculty,non-OECD,first_time,male,Dennis Bartlett,cosmology
senior-faculty,OECD,first_time,female,Betty Ippolito,exoplanets
grad-student,OECD,first_time,,Patrick Hutchens,cosmology
junior-faculty,OECD,first_time,female,Mary Davis,cosmology
grad-student,non-OECD,first_time,female,Loretta Birchfield,exoplanets
junior-faculty,OECD,first_time,female,Lakisha Davis,solar
senior-faculty,OECD,returning,male,Eugene Burke,exoplanets
grad-student,non-OECD,returning,female,Tanisha Paul,exoplanets
junior-faculty,non-OECD,returning,female,Ashley Libel,cosmology
