career_stage,country,first_time,gender,name,subfield
junior-faculty,non-OECD,first_time,male,John Hess,solar
grad-student,non-OECD,first_time,male,Brian Bittner,cosmology
senior-faculty,OECD,returning,male,Scott Byrum,exoplanets
junior-faculty,non-OECD,returning,male,Albert Rice,cosmology
senior-faculty,OECD,first_time,male,Bradley Perez,exoplanets
senior-faculty,OECD,first_time,female,Patricia Dyches,exoplanets
senior-faculty,non-OECD,first_time,male,Christopher Komorowski,solar
grad-student,OECD,returning,male,James Harris,cosmology
senior-faculty,OECD,first_time,male,Mark Martins,solar
senior-faculty,non-OECD,returning,male,John Harris,exoplanets
grad-student,OECD,returning,male,Tyrone Lairy,exoplanets
junior-faculty,non-OECD,first_time,male,Norman Warner,solar
junior-faculty,non-OECD,first_time,male,Barney Lawrence,solar
senior-faculty,non-OECD,first_time,male,William Rahm,exoplanets
junior-faculty,OECD,first_time,male,Thomas Harmon,exoplanets
senior-faculty,OECD,returning,male,Michael Zackery,cosmology
senior-faculty,OECD,returning,male,Robert Thompson,cosmology
senior-faculty,non-OECD,returning,male,Stephen Vizzi,solar
junior-faculty,non-OECD,returning,female,Jennifer Foley,cosmology
grad-student,non-OECD,first_time,male,Wallace Sims,exoplanets
grad-student,non-OECD,first_time,male,Rogelio Butts,solar
junior-faculty,non-OECD,first_time,male,Jeffrey Howard,cosmology
grad-student,non-OECD,returning,female,Kristin Tobias,solar
senior-faculty,OECD,returning,male,Paul Berezny,cosmology
grad-student,OECD,first_time,male,Arthur Wagoner,cosmology
junior-faculty,OECD,first_time,male,Joseph Gates,solar
grad-student,OECD,first_time,male,Emmanuel Weatherford,astrophysics
grad-student,OECD,returning,male,Edgar Williams,solar
senior-faculty,OECD,first_time,male,Curtis Berger,exoplanets
senior-faculty,non-OECD,returning,male,Chuck Washington,exoplanets
grad-student,non-OECD,returning,male,Thomas May,solar
senior-faculty,non-OECD,first_time,female,Maritza Jennings,cosmology
junior-faculty,non-OECD,first_time,male,Troy Hayes,astrophysics
grad-student,OECD,returning,,Paula Dobbs,cosmology
senior-faculty,non-OECD,,female,Edna Brooks,
junior-faculty,OECD,first_time,male,William Johnson,solar
grad-student,OECD,returning,male,Aaron Webb,solar
grad-student,non-OECD,first_time,male,Kevin Acosta,solar
grad-student,non-OECD,first_time,male,Michael Smith,solar
grad-student,non-OECD,returning,male,James Savage,astrophysics
