applicant_name,career_stage,country,first_time,gender,subfield
Irene Montgomery,junior-faculty,non-OECD,returning,female,cosmology
Mark Roca,senior-faculty,non-OECD,first_time,male,
Matthew Lawrence,junior-faculty,non-OECD,returning,other,cosmology
Perry Hartsfield,student,OECD,first_time,male,cosmology
Paul Mccoy,senior-faculty,non-OECD,first_time,male,cosmology
Luther Boivin,senior-faculty,non-OECD,returning,male,astrophysics
Gus Culver,student,non-OECD,returning,male,astrophysics
Seymour Gamba,junior-faculty,non-OECD,returning,male,cosmology
Alicia Winfield,senior-faculty,OECD,first_time,female,exoplanets
Jeffrey Layton,student,non-OECD,,male,exoplanets
John York,junior-faculty,OECD,returning,male,cosmology
Robert Pitts,senior-faculty,OECD,returning,male,astrophysics
John Arroyo,junior-faculty,non-OECD,returning,male,solar
Charles Wilson,student,OECD,returning,male,exoplanets
Wallace Shaver,student,non-OECD,first_time,male,exoplanets
Courtney Medley,student,OECD,first_time,female,cosmology
Matt Tibolla,student,non-OECD,first_time,male,exoplanets
Robert James,junior-faculty,non-OECD,first_time,male,cosmology
Henry Lewis,junior-faculty,non-OECD,returning,male,astrophysics
Jesse Allsbrook,junior-faculty,OECD,returning,male,solar
Amelia Jensen,junior-faculty,OECD,returning,female,astrophysics
Blake Newton,junior-faculty,OECD,returning,male,cosmology
James Woodley,senior-faculty,OECD,returning,male,cosmology
James Sublett,junior-faculty,OECD,first_time,male,cosmology
Vincent Sharp,senior-faculty,non-OECD,first_time,male,cosmology
Natasha Sherman,student,OECD,returning,female,cosmology
Sandra Burwell,student,OECD,first_time,female,cosmology
Twyla Matthews,senior-faculty,OECD,returning,female,cosmology
Dennis White,senior-faculty,OECD,returning,male,cosmology
Bobby Mendez,senior-faculty,non-OECD,returning,male,astrophysics
Archie Lai,senior-faculty,OECD,first_time,male,exoplanets
Derek Chamberlain,junior-faculty,non-OECD,first_time,male,exoplanets
David Markow,senior-faculty,OECD,first_time,male,cosmology
Adam Holbrook,junior-faculty,OECD,first_time,male,
Thomas Lane,junior-faculty,OECD,first_time,male,astrophysics
James Smith,student,OECD,first_time,male,cosmology
Margie Finley,student,OECD,first_time,female,
Hassan Shand,junior-faculty,non-OECD,first_time,male,exoplanets
Bruce Craig,senior-faculty,OECD,first_time,male,exoplanets
Todd Poore,senior-faculty,OECD,first_time,male,solar
Christopher Getz,junior-faculty,OECD,first_time,male,cosmology
Ralph Carter,junior-faculty,OECD,first_time,male,
Christopher Boudreau,senior-faculty,OECD,first_time,male,exoplanets
Carmella Palacios,senior-faculty,non-OECD,,other,exoplanets
Daniel Powles,junior-faculty,OECD,returning,male,cosmology
Harold Sims,senior-faculty,non-OECD,returning,male,cosmology
Bruce Marshall,senior-faculty,OECD,returning,male,solar
Harry Grice,senior-faculty,OECD,returning,male,cosmology
Terry Jensen,student,non-OECD,first_time,male,cosmology
Bryan Price,junior-faculty,non-OECD,returning,male,astrophysics
Jorge Vasquez,junior-faculty,OECD,returning,male,exoplanets
David Dunn,student,non-OECD,first_time,male,exoplanets
Rosalee Adams,senior-faculty,non-OECD,returning,other,cosmology
Albert Addiego,junior-faculty,OECD,first_time,male,exoplanets
Mark Collinsworth,junior-faculty,non-OECD,returning,male,cosmology
Homer Moore,student,OECD,returning,male,cosmology
Alberto Robles,junior-faculty,OECD,returning,male,cosmology
Edward Mcgee,senior-faculty,OECD,returning,male,astrophysics
Miriam Childers,senior-faculty,OECD,first_time,female,cosmology
Joshua Warner,senior-faculty,non-OECD,returning,male,cosmology
Jeremiah Walton,student,non-OECD,first_time,male,solar
Clara Trew,student,non-OECD,first_time,female,cosmology
Michael Fluellen,junior-faculty,OECD,first_time,male,exoplanets
Brian Pringle,student,non-OECD,first_time,male,astrophysics
Shane Richards,senior-faculty,OECD,first_time,male,cosmology
